quarter,source_url,food_effect,food_at_home_effect,cereals_bakery_effect,meats_poultry_fish_eggs_effect,dairy_effect,fruits_vegetables_effect,nonalcoholic_beverages_effect,other_food_at_home_effect,food_away_from_home_effect,services_ex_energy_effect,shelter_effect,rent_primary_effect,lodging_away_effect,oer_residences_effect,tenants_insurance_effect,water_sewer_trash_effect,medical_services_effect,transportation_services_effect,recreation_services_effect,education_communication_services_effect,other_personal_services_effect
2021-Q1,https://www.bls.gov/news.release/archives/cpi_04132021.htm,0.480,0.252,0.025,0.091,0.012,0.051,0.029,0.043,0.229,0.973,0.565,0.143,-0.063,0.486,-0.001,0.039,0.197,-0.087,0.047,0.127,0.048
2021-Q2,https://www.bls.gov/news.release/archives/cpi_07132021.htm,0.340,0.074,0.002,0.012,0.006,0.043,0.002,0.008,0.266,1.827,0.864,0.151,0.144,0.569,0.000,0.039,0.075,0.525,0.073,0.148,0.041
2021-Q3,https://www.bls.gov/news.release/archives/cpi_10132021.htm,0.646,0.351,0.027,0.183,0.005,0.040,0.035,0.061,0.295,1.732,1.051,0.191,0.161,0.700,0.000,0.041,0.065,0.222,0.131,0.104,0.058
2021-Q4,https://www.bls.gov/news.release/archives/cpi_01122022.htm,0.886,0.504,0.048,0.217,0.013,0.067,0.048,0.111,0.382,2.189,1.376,0.262,0.197,0.921,-0.003,0.038,0.185,0.215,0.124,0.110,0.073
2022-Q1,https://www.bls.gov/news.release/archives/cpi_04122022.htm,1.209,0.791,0.096,0.238,0.054,0.118,0.075,0.210,0.418,2.755,1.658,0.342,0.220,1.098,-0.002,0.045,0.211,0.421,0.169,0.102,0.088
2022-Q2,https://www.bls.gov/news.release/archives/cpi_07132022.htm,1.404,0.969,0.139,0.212,0.102,0.112,0.109,0.295,0.435,3.192,1.846,0.433,0.097,1.314,0.001,0.049,0.340,0.540,0.159,0.101,0.100
2022-Q3,https://www.bls.gov/news.release/archives/cpi_10132022.htm,1.511,1.049,0.166,0.168,0.119,0.144,0.121,0.331,0.462,3.854,2.178,0.537,0.026,1.615,-0.001,0.055,0.456,0.812,0.133,0.078,0.085
2022-Q4,https://www.bls.gov/news.release/archives/cpi_01122023.htm,1.392,0.962,0.166,0.145,0.115,0.119,0.118,0.300,0.429,4.059,2.474,0.618,0.029,1.826,0.002,0.055,0.287,0.816,0.182,0.134,0.077
2023-Q1,https://www.bls.gov/news.release/archives/cpi_04122023.htm,1.131,0.691,0.143,0.082,0.081,0.034,0.108,0.243,0.440,4.057,2.681,0.641,0.104,1.931,0.003,0.058,0.073,0.777,0.186,0.172,0.073
2023-Q2,https://www.bls.gov/news.release/archives/cpi_07122023.htm,0.762,0.388,0.095,-0.002,0.021,0.042,0.073,0.159,0.374,3.472,2.553,0.600,0.082,1.867,0.004,0.060,-0.049,0.470,0.181,0.124,0.090
2023-Q3,https://www.bls.gov/news.release/archives/cpi_10122023.htm,0.498,0.208,0.054,0.004,-0.001,0.012,0.041,0.098,0.290,3.261,2.391,0.545,0.094,1.741,0.010,0.055,-0.179,0.517,0.197,0.124,0.096
2023-Q4,https://www.bls.gov/news.release/archives/cpi_01112024.htm,0.366,0.114,0.030,-0.002,-0.011,0.005,0.027,0.065,0.252,3.089,2.117,0.487,0.002,1.614,0.013,0.055,-0.032,0.556,0.175,0.063,0.092
2024-Q1,https://www.bls.gov/news.release/archives/cpi_04102024.htm,0.302,0.098,0.002,0.024,-0.015,0.029,0.025,0.032,0.205,3.176,1.971,0.427,0.015,1.511,0.017,0.056,0.141,0.639,0.142,0.072,0.078
2024-Q2,https://www.bls.gov/news.release/archives/cpi_07112024.htm,0.299,0.093,0.005,0.046,-0.001,-0.007,0.015,0.035,0.205,2.999,1.816,0.382,0.015,1.406,0.012,0.049,0.212,0.569,0.107,0.111,0.071
2024-Q3,https://www.bls.gov/news.release/archives/cpi_10102024.htm,0.306,0.102,0.001,0.066,0.003,0.010,0.013,0.008,0.204,2.836,1.723,0.361,-0.006,1.360,0.009,0.051,0.233,0.522,0.071,0.116,0.061
2024-Q4,https://www.bls.gov/news.release/archives/cpi_01152025.htm,0.340,0.145,0.008,0.073,0.010,0.014,0.023,0.017,0.195,2.685,1.655,0.328,0.035,1.286,0.007,0.057,0.220,0.457,0.090,0.089,0.057
2025-Q1,https://www.bls.gov/news.release/archives/cpi_04102025.htm,0.400,0.195,0.012,0.130,0.016,-0.009,0.022,0.025,0.204,2.228,1.428,0.302,-0.041,1.158,0.009,0.053,0.198,0.199,0.144,0.080,0.073
2025-Q2,https://www.bls.gov/news.release/archives/cpi_07152025.htm,0.401,0.191,0.010,0.093,0.007,0.010,0.040,0.031,0.210,2.188,1.355,0.284,-0.042,1.094,0.020,0.058,0.223,0.216,0.127,0.055,0.069
2025-Q3,https://www.bls.gov/news.release/archives/cpi_10242025.htm,0.423,0.216,0.018,0.084,0.005,0.017,0.048,0.044,0.207,2.099,1.272,0.255,-0.004,0.990,0.031,0.052,0.259,0.162,0.146,0.055,0.073
2025-Q4,https://www.bls.gov/news.release/archives/cpi_01132026.htm,0.420,0.190,0.017,0.064,-0.007,0.006,0.046,0.064,0.230,1.839,1.123,0.219,-0.011,0.881,0.033,0.051,0.238,0.095,0.137,0.056,0.077
2026-Q1,https://www.bls.gov/news.release/archives/cpi_04102026.htm,0.366,0.156,0.022,-0.016,-0.012,0.051,0.044,0.066,0.210,1.845,1.071,0.193,0.040,0.809,0.029,0.052,0.249,0.260,0.056,0.053,0.053
2026-Q2,https://www.bls.gov/news.release/archives/cpi_07142026.htm,0.410,0.225,0.026,0.047,0.003,0.067,0.028,0.055,0.185,1.912,1.159,0.216,0.074,0.846,0.022,0.051,0.199,0.217,0.091,0.050,0.082
