category,group,relative_importance,yoy_pct,contribution_pp,source_url
Food at home,Food goods,8.188,2.7,0.225,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Energy commodities,Energy goods,4.551,27.1,0.924,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Household furnishings and supplies,Core goods,3.316,1.3,0.046,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Apparel,Core goods,2.457,3.9,0.093,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Transportation commodities less motor fuel,Core goods,6.772,-0.3,-0.019,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Medical care commodities,Core goods,1.409,-2.1,-0.031,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Recreation commodities,Core goods,1.890,2.9,0.056,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Education and communication commodities,Core goods,0.776,-6.8,-0.053,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Alcoholic beverages,Core goods,0.820,2.0,0.017,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
Other goods,Core goods,1.297,3.9,0.051,https://www.bls.gov/news.release/cpi.t07.htm?lv=true
