quarter,source_url,headline_cpi_yoy,food_weight,food_yoy,food_effect,energy_weight,energy_yoy,energy_effect,core_goods_weight,core_goods_yoy,core_goods_effect,services_ex_energy_weight,services_ex_energy_yoy,services_ex_energy_effect,shelter_weight,shelter_yoy,shelter_effect
2021-Q1,https://www.bls.gov/news.release/archives/cpi_04132021.htm,2.6,14.052,3.5,0.480,6.561,13.2,0.824,20.172,1.7,0.342,59.215,1.6,0.973,33.125,1.7,0.565
2021-Q2,https://www.bls.gov/news.release/archives/cpi_07132021.htm,5.4,13.874,2.4,0.340,7.073,24.5,1.486,20.473,8.7,1.738,58.580,3.1,1.827,32.704,2.6,0.864
2021-Q3,https://www.bls.gov/news.release/archives/cpi_10132021.htm,5.4,13.897,4.6,0.646,7.294,24.8,1.535,20.724,7.3,1.478,58.085,2.9,1.732,32.552,3.2,1.051
2021-Q4,https://www.bls.gov/news.release/archives/cpi_01122022.htm,7.0,13.990,6.3,0.886,7.542,29.3,1.803,20.768,10.7,2.159,57.700,3.7,2.189,32.393,4.1,1.376
2022-Q1,https://www.bls.gov/news.release/archives/cpi_04122022.htm,8.5,13.405,8.8,1.209,7.547,32.0,2.196,21.815,11.7,2.382,57.233,4.7,2.755,32.695,5.0,1.658
2022-Q2,https://www.bls.gov/news.release/archives/cpi_07132022.htm,9.1,13.423,10.4,1.404,8.665,41.6,2.954,21.249,7.2,1.510,56.663,5.5,3.192,32.285,5.6,1.846
2022-Q3,https://www.bls.gov/news.release/archives/cpi_10132022.htm,8.2,13.635,11.2,1.511,8.244,19.8,1.434,21.288,6.6,1.403,56.833,6.7,3.854,32.470,6.6,2.178
2022-Q4,https://www.bls.gov/news.release/archives/cpi_01122023.htm,6.5,13.781,10.4,1.392,7.868,7.3,0.537,20.882,2.1,0.466,57.469,7.0,4.059,32.929,7.5,2.474
2023-Q1,https://www.bls.gov/news.release/archives/cpi_04122023.htm,5.0,13.507,8.5,1.131,6.995,-6.4,-0.540,21.323,1.5,0.338,58.175,7.1,4.057,34.473,8.2,2.681
2023-Q2,https://www.bls.gov/news.release/archives/cpi_07122023.htm,3.0,13.431,5.7,0.762,6.874,-16.7,-1.556,21.378,1.3,0.291,58.317,6.2,3.472,34.674,7.8,2.553
2023-Q3,https://www.bls.gov/news.release/archives/cpi_10122023.htm,3.7,13.380,3.7,0.498,7.162,-0.5,-0.073,21.117,0.0,0.014,58.340,5.7,3.261,34.749,7.2,2.391
2023-Q4,https://www.bls.gov/news.release/archives/cpi_01112024.htm,3.4,13.424,2.7,0.366,6.741,-2.0,-0.140,20.781,0.2,0.037,59.055,5.3,3.089,35.170,6.2,2.117
2024-Q1,https://www.bls.gov/news.release/archives/cpi_04102024.htm,3.5,13.495,2.2,0.302,6.748,2.1,0.152,18.805,-0.7,-0.153,60.953,5.4,3.176,36.184,5.7,1.971
2024-Q2,https://www.bls.gov/news.release/archives/cpi_07112024.htm,3.0,13.390,2.2,0.299,7.001,1.0,0.075,18.559,-1.8,-0.401,61.050,5.1,2.999,36.240,5.2,1.816
2024-Q3,https://www.bls.gov/news.release/archives/cpi_10102024.htm,2.4,13.426,2.3,0.306,6.803,-6.8,-0.490,18.444,-1.0,-0.212,61.327,4.7,2.836,36.517,4.9,1.723
2024-Q4,https://www.bls.gov/news.release/archives/cpi_01152025.htm,2.9,13.483,2.5,0.340,6.442,-0.5,-0.035,18.347,-0.5,-0.101,61.728,4.4,2.685,36.707,4.6,1.655
2025-Q1,https://www.bls.gov/news.release/archives/cpi_04102025.htm,2.4,13.651,3.0,0.400,6.329,-3.3,-0.231,19.394,-0.1,-0.005,60.626,3.7,2.228,35.389,4.0,1.428
2025-Q2,https://www.bls.gov/news.release/archives/cpi_07152025.htm,2.7,13.644,3.0,0.401,6.379,-0.8,-0.070,19.304,0.7,0.151,60.674,3.6,2.188,35.473,3.8,1.355
2025-Q3,https://www.bls.gov/news.release/archives/cpi_10242025.htm,3.0,13.646,3.1,0.423,6.400,2.8,0.176,19.319,1.5,0.315,60.635,3.5,2.099,35.471,3.6,1.272
2025-Q4,https://www.bls.gov/news.release/archives/cpi_01132026.htm,2.7,13.657,3.1,0.420,6.315,2.3,0.143,19.223,1.4,0.275,60.805,3.0,1.839,35.514,3.2,1.123
2026-Q1,https://www.bls.gov/news.release/archives/cpi_04102026.htm,3.3,13.693,2.7,0.366,6.400,12.5,0.816,19.149,1.2,0.229,60.758,3.0,1.845,35.550,3.0,1.071
2026-Q2,https://www.bls.gov/news.release/archives/cpi_07142026.htm,3.5,13.447,3.0,0.410,7.791,15.7,1.051,18.737,0.8,0.158,60.025,3.2,1.912,35.149,3.3,1.159
